DOWNLOAD DATE AND TIME: 08/05/2023 - 13:11:08
 
TAG: LCA-3119-J10-   SN: 20000   MANUF.DATE: 09/23/2022
 
OPERATION MODE: LOCAL/SCADA   
USE MODE: 		CPO           
 
PRESSURES
LINE PRESSURE         RANGE:     0/10000 PSI
P2                    RANGE:     0/10000 PSI
P3                    RANGE:     0/15000 PSI
PILOT PRESSURE        RANGE:     0/  232 PSI
POWER PRESSURE        RANGE:     0/ 3626 PSI
 
VALVES
V1 TYPE:   VSM   OPENING TIME OUT:  60 S   CLOSING TIME OUT: 120 S   STARTING TIME:   0 S   PST FREQ.:     0 H
V2 TYPE:  WING   OPENING TIME OUT:  30 S   CLOSING TIME OUT: 120 S   PST FREQ.:     0 H
V3 TYPE: CHOKE   OPENING TIME OUT:  50 S   CLOSING TIME OUT:  50 S   ENABLED: YES   POS. INDICATOR: YES
 
TRIGGERS
LOW LEVEL:   711 PSI   HIGH LEVEL:  1565 PSI   HYSTERESIS:    50 PSI
 
CHOKE CONFIG
POSITION: + RESTR.
 
HYDRAULIC CONFIG
PUMP SELECTION: ALTERNATE
MIN. POWER PRESSURE:  1300 PSI
MAX. POWER PRESSURE:  1800 PSI
MIN. PILOT PRESSURE:    50 PSI
MAX. PILOT PRESSURE:   120 PSI
MAX. LIMIT PRESSURE:  3000 PSI
FIST HIT DETECTION PRESSURE:    10 PSI
 
SERIAL COMMUNICATION
ENABLE: YES  PROTOCOL: MODBUS-RTU   BAUD RATE: 9600   PARITY: NO     STOP BITS: 2   SLAVE: 1
 
FACTORY
MODEL: E02   FIRMWARE: V01.42
 
 
NUMBER OF CAPTURES: 003041
 
   DATE   ;  TIME  ;Pline; P2 ; P3 ;Ppilot;Ppower
08/03/2023;18:01:10;1282 ;0000;0000; 0084 ; 1482 
08/03/2023;18:02:10;1282 ;0000;0000; 0084 ; 1482 
08/03/2023;18:03:10;1283 ;0000;0000; 0084 ; 1480 
08/03/2023;18:04:10;1285 ;0000;0000; 0084 ; 1478 
08/03/2023;18:05:09;1286 ;0000;0000; 0084 ; 1477 
08/03/2023;18:06:09;1286 ;0000;0000; 0085 ; 1475 
08/03/2023;18:07:09;1286 ;0000;0000; 0085 ; 1475 
08/03/2023;18:08:08;1286 ;0000;0000; 0085 ; 1473 
08/03/2023;18:09:08;1283 ;0000;0000; 0084 ; 1473 
08/03/2023;18:10:08;1285 ;0000;0000; 0084 ; 1472 
08/03/2023;18:11:08;1285 ;0000;0000; 0084 ; 1470 
08/03/2023;18:12:07;1283 ;0000;0000; 0084 ; 1470 
08/03/2023;18:13:07;1286 ;0000;0000; 0084 ; 1468 
08/03/2023;18:14:07;1286 ;0000;0000; 0084 ; 1467 
08/03/2023;18:15:07;1286 ;0000;0000; 0084 ; 1467 
08/03/2023;18:16:06;1286 ;0000;0000; 0085 ; 1465 
08/03/2023;18:17:06;1286 ;0000;0000; 0085 ; 1463 
08/03/2023;18:18:06;1285 ;0000;0000; 0085 ; 1462 
08/03/2023;18:19:06;1283 ;0000;0000; 0085 ; 1462 
08/03/2023;18:20:05;1282 ;0000;0000; 0085 ; 1460 
08/03/2023;18:21:05;1283 ;0000;0000; 0085 ; 1460 
08/03/2023;18:22:05;1286 ;0000;0000; 0085 ; 1458 
08/03/2023;18:23:04;1286 ;0000;0000; 0085 ; 1457 
08/03/2023;18:24:04;1282 ;0000;0000; 0085 ; 1457 
08/03/2023;18:25:04;1282 ;0000;0000; 0085 ; 1455 
08/03/2023;18:26:04;1282 ;0000;0000; 0085 ; 1453 
08/03/2023;18:27:03;1282 ;0000;0000; 0085 ; 1453 
08/03/2023;18:28:03;1283 ;0000;0000; 0085 ; 1452 
